RepoNum,Username,RepositoryName,Artifact,Extension,fingerprint,onlyIfSuccessful,ParentSection,SectionName,Occurrence
25,nagendran28,Nagu_CI-CD,*.jar,.jar,true,N/A,post-always,always,1
26,Aseg,API,docker-compose.yml,.yml,true,N/A,stage,Deploy,1
27,KyleU,boilerplay,*.zip,.zip,true,N/A,stage,Build,1
28,KyleU,solitaire.gg,*.zip,.zip,true,N/A,stage,Build,1
29,mseimys,minimal-react-redux,**,All,false,N/A,stage,Build,1
30,linuxacademy,cicd-pipeline-train-schedule-docker,trainSchedule.zip,.zip,false,N/A,stage,Build,1
31,mseimys,minimal-react-redux,**,All,false,N/A,stage,Build,1
32,nadeemt77,java-project,*.jar,.jar,true,N/A,post-always,always,1
33,nagarajkrisjay,testps2,*.jar,.jar,false,N/A,stage,Reports,1
34,asafg6,jenkins2-pipeline-example,*.txt,.txt,true,N/A,stage,Build,1
35,uldiskarlovskis,devops-rtu,*.jar,.jar,true,N/A,stage,Build,1
36,Anrop,Anrop-ACE-Server,*,All,false,N/A,stage,Build,1
37,jiyunet,jiyunet,*,All,true,N/A,stage,Build,1
38,kanag,henkins-hello,*.war,.war,false,N/A,post-success,success,1
39,Lucasljungberg,sef18group15-CI-server,*,All,false,N/A,stage,Archive,1
40,danieleratti,test-deploy,*,All,false,N/A,stage,Ciao,1
41,rubixhacker,Kontact,*.aar,.aar,false,N/A,stage,Archive,1
42,blacklr,java-project,*.jar,.jar,true,N/A,post-always,always,1
43,tarjeio,libmathy,libmathy.a,.a,false,N/A,stage,Publish,1
43,tarjeio,libmathy,mathy.h,.h,false,N/A,stage,Publish,2
43,tarjeio,libmathy,results_junit.xml,.xml,false,N/A,stage,Publish,3
43,tarjeio,libmathy,*.zip,.zip,false,N/A,stage,Publish,4
44,dharmsheta,application-deliver,*.sh,.sh,true,N/A,stage,Build,1
45,maheshshekhar,mjava,*.jar,.jar,true,N/A,post-always,always,1
46,crazynagu07,Nagu_CI-CD,*.jar,.jar,true,N/A,post-always,always,1
47,birla01,jenkinscopy,*.war,.war,false,N/A,post-success,success,1
48,KyleU,scala-js-typescript,*.zip,.zip,true,N/A,stage,Build,1
49,xueyuanzang,HelloWorld,*.jar,.jar,false,N/A,stage,Results,1
50,Sharparam,KFS,site.zip,.zip,true,N/A,stage,Build,1
51,zmora-agh,zmora-runner,zmora_runner,None,true,N/A,stage,Build,1
52,netants2016,Java-pipeline,*.jar,.jar,true,N/A,post-always,always,1
53,mittal-anshul,jenkins-java-project,*.jar,.jar,true,N/A,post-always,always,1
54,sammashu,demo-jenkin,*.war,.war,false,N/A,post-success,success,1
55,sasquench,jet,jet,None,false,N/A,stage,Build,1
56,rautdeepak55,jenkins_pipeline,*.war,.war,false,N/A,post-success,success,1
57,biels,Minicat,*.jar,.jar,true,N/A,stage,Build,1
58,baileyvw,jenkins-test,*.jar,.jar,true,N/A,post-always,always,1
59,zDevelopers,MultipleInventories,*.jar,.jar,true,N/A,stage,Build,1
60,stellasharon,jenkinsjob,*.jar,.jar,true,N/A,post-always,always,1
61,gouthamchilakala,windows-helloworld,**,All,false,N/A,post-success,success,1
62,rcaucone,cloudbees_workshop,env.txt,.txt,false,N/A,stage,Archive,1
63,gbane2012,Java-project,*.jar,.jar,true,N/A,post-always,always,1
64,arjunprabhulal,java-project,*.jar,.jar,true,N/A,post-always,always,1
65,tuxparty,tuxparty,tuxparty,None,true,N/A,stage,Build,1
66,endogix,WebFormWeaver,*,All,false,N/A,stage,Deploy,1
67,GoMint,jRakNet,jraknet-*.jar,.jar,false,N/A,stage,Store,1
68,jramnani,game-of-life,*.jar,.jar,false,true,stage,Package,1
69,b1-systems-training,jenkins-simple-pipeline,*.tbz,.tbz,false,N/A,stage,Package,1
70,j-selby,oxidgb,oxidgb_glutin,None,false,N/A,stage,Deploy,1
71,linuxacademy,cicd-pipeline-train-schedule-cd,trainSchedule.zip,.zip,false,N/A,stage,Build,1
72,kmalhi,examples,*.sh,.sh,true,N/A,stage,Build,1
73,innaki2018,JenkinsPipeline,*.war,.war,false,N/A,post-success,success,1
74,zDevelopers,ZePS-Core,*.jar,.jar,true,N/A,stage,Build,1
75,linagora,openpaas-mailets,*.jar,.jar,true,N/A,stage,Archive,1
76,ohnx-plugins,backpackSpigotPlugin,backpack-1.1.0.jar,.1.0.jar,false,N/A,stage,ArchiveArtifacts,1
77,prateekpatel,java-project,*.jar,.jar,true,N/A,post-always,always,1
78,sunilyadav85,elevator-app,*.jar,.jar,false,N/A,post-success,success,1
79,KodingKing1,KKMasterPlugin,*.jar,.jar,false,N/A,stage,ArchiveArtifacts,1
80,glorantq,ao3-java,*.jar,.jar,true,N/A,stage,Build,1
81,nagarajkrisjay,maven-test,*.jar,.jar,false,N/A,stage,Reports,1
82,troyaxthelm,jenkinsdemo,DemoFile,None,false,N/A,stage,error,1
83,crookm,loadjson,*,All,false,N/A,stage,Deploy,1
84,minnjm,maven-project-Jenkinsfile,*.war,.war,false,N/A,post-success,success,1
85,GImbrailo,HelloPHP,*,All,false,N/A,stage,Test,1
86,cloudtraining,cloudnative,*.jar,.jar,true,N/A,stage,Build&Test,1
87,ykawakamy,sandbox-selenium,**,All,true,N/A,stage,step1,1
88,ykawakamy,sandbox-selenium,**,All,true,N/A,stage,step1,1
89,Haribook,maven-example-project,*jar,None,false,N/A,stage,archive,1
90,Anrop,Anrop-CBA-Settings,*,All,false,N/A,stage,Build,1
91,vamsi2799,sunny,*.war,.war,true,N/A,post-always,always,1
92,melchor629,node-flac-bindings,*,All,false,N/A,stage,Store,1
93,Bloometa,SocialManager,*,All,false,N/A,stage,Deploy,1
94,Anrop,Anrop-ACE-Compat,*,All,false,N/A,stage,Build,1
95,linuxacademy,cicd-pipeline-train-schedule-dockerdeploy,trainSchedule.zip,.zip,false,N/A,stage,Build,1
96,DEFRA,os-places-address-lookup,*.jar,.jar,false,true,post-always,always,1
96,DEFRA,os-places-address-lookup,configuration.yml,.yml,false,true,post-always,always,2
97,whboyd,kube-test,trainSchedule.zip,.zip,false,N/A,stage,Build,1
98,sushantbhatnagar,rubyPrograms,random_number_result.txt,.txt,false,N/A,post-success,success,1
99,sigasi,sigasi_insights,*,All,false,N/A,stage,Archive,1
100,daniel-beck,pipeline-test,*,All,false,true,stage,Build,1
101,manasayelisetti,jenkins,*.jar,.jar,true,N/A,post-always,always,1
101,manasayelisetti,jenkins,*.jar,.jar,true,N/A,post-always,always,2
102,moritzfl,sorting-algorithms,*-shaded.jar,.jar,false,N/A,stage,archive,1
103,crookm,jsqueue,*,All,false,N/A,stage,Deploy,1
104,fsrodriguezm,jenkins-test,*.jar,.jar,true,N/A,post-always,always,1
105,eddyce,helloworld,*.whl,.whl,true,N/A,stage,Build,1
105,eddyce,helloworld,*.gz,.gz,true,N/A,stage,Build,2
106,ashokirla,theIsland,*,All,false,N/A,stage,Build,1
106,ashokirla,theIsland,*,All,false,N/A,stage,Build,2
106,ashokirla,theIsland,*,All,false,N/A,stage,Build,3
107,NicholasFeldman,BetterRecords,*.jar,.jar,false,N/A,stage,Deploy,1
108,hilaryrowe,documentation3,**.tar.gz,.tar.gz,false,N/A,stage,Archive,1
109,razarthasaj,qa_testing_web_interfaces,*.jar,.jar,true,N/A,post-always,always,1
110,vhristev,Unix,*,All,false,N/A,stage,Arch,1
111,benlidgey,flyers-csv,Nadia.jar,.jar,true,true,stage,archive,1
111,benlidgey,flyers-csv,Nadia*javadoc.jar,.jar,true,N/A,stage,archive,2
112,przemko07,go_comments,*.log,.log,true,N/A,stage,test,1
113,sandeep078,newproject1,*.jar,.jar,true,N/A,post-always,always,1
113,sandeep078,newproject1,*.jar,.jar,true,N/A,post-always,always,2
114,MarkEWaite,DevOptics-application,*.sh,.sh,true,N/A,stage,Build,1
115,shawnbelton,dccweb,*.jar,.jar,true,N/A,stage,Archive,1
115,shawnbelton,dccweb,*.zip,.zip,true,N/A,stage,Archive,2
115,shawnbelton,dccweb,*.tar.gz,.tar.gz,true,N/A,stage,Archive,3
116,jihed,openshift-jmeter-kafka,*.csv,.csv,false,N/A,post-always,always,1
116,jihed,openshift-jmeter-kafka,*.log,.log,false,N/A,post-always,always,2
116,jihed,openshift-jmeter-kafka,*.*,.*,false,N/A,post-always,always,3
117,SWEN6305,management,*.war,.war,false,N/A,post-success,success,1
118,dwalldorf,track-my-time,*.xml,.xml,true,N/A,stage,Build,1
118,dwalldorf,track-my-time,*.jar,.jar,true,N/A,stage,Artifacts,2
118,dwalldorf,track-my-time,pom.xml,.xml,true,N/A,stage,Artifacts,3
118,dwalldorf,track-my-time,Jenkinsfile,None,true,N/A,stage,Artifacts,4
119,GlacierOS,glacier-build,*.iso,.iso,true,N/A,stage,Archive,1
120,mani189189,jbuild2,*.jar,.jar,true,N/A,post-always,always,1
121,ohnx-plugins,DispenserTool,dispenserTool-0.0.1.jar,.0.1.jar,false,N/A,stage,ArchiveArtifacts,1
122,PrabhakaranAnnadurai,DemoProject4,test.txt,.txt,false,N/A,stage,Build,1
123,sudhirnakka,build-user-vars-plugin,build-user-vars-plugin.jar,.jar,true,true,stage,archive,1
123,sudhirnakka,build-user-vars-plugin,build-user-vars-plugin.hpi,.hpi,true,N/A,stage,archive,2
124,Awia00,AndersWind.dk,dist,None,true,N/A,stage,BuildSite,1
125,freenas,build,**,All,true,N/A,post-success,success,1
125,freenas,build,**,All,true,N/A,post-failure,failure,2
126,j-selby,leaffront,leaffront-station,None,false,N/A,stage,Linux,1
126,j-selby,leaffront,leaffront-station.exe,.exe,false,N/A,stage,Windows,2
126,j-selby,leaffront,*.deb,.deb,false,N/A,stage,RaspberryPi,3
127,laogen01,tic-tac,build,None,false,N/A,stage,Deploy,1
128,dwalldorf,track-my-fuel,*.xml,.xml,true,N/A,stage,Build,1
128,dwalldorf,track-my-fuel,*.jar,.jar,true,N/A,stage,Artifacts,2
128,dwalldorf,track-my-fuel,pom.xml,.xml,true,N/A,stage,Artifacts,3
128,dwalldorf,track-my-fuel,Jenkinsfile,None,true,N/A,stage,Artifacts,4
129,alexpask,hello-world,*.jar,.jar,false,N/A,stage,Archive,1
130,Sharparam,pd2-sharpmod,*.zip,.zip,true,N/A,stage,Archive,1
131,eddyce,keras.sample1,*.whl,.whl,true,N/A,stage,Build,1
131,eddyce,keras.sample1,*.gz,.gz,true,N/A,stage,Build,2
132,aarmey,CV,Meyer_CV.pdf,.pdf,false,true,stage,Build,1
132,aarmey,CV,Biosketch.pdf,.pdf,false,true,stage,Build,2
133,wcpannell,riata-wiring,*,All,false,N/A,stage,builddocs,1
134,m-m-m,security,*.jar,.jar,true,true,stage,archive,1
135,KyleU,databaseflow,*.zip,.zip,true,N/A,stage,Build,1
136,scotnielsen,AirportDemo,*.*,.*,false,N/A,stage,Package,1
136,scotnielsen,AirportDemo,MFCAResults.log,.log,false,N/A,stage,Package,2
137,jenkinsci,sentry-plugin,*.hpi,.hpi,true,N/A,post-success,success,1
138,deiviz79,maven-project-pipeline,*.war,.war,false,N/A,post-success,success,1
139,sandeep078,jenkins-server,*.jar,.jar,true,N/A,post-always,always,1
139,sandeep078,jenkins-server,*.jar,.jar,true,N/A,post-always,always,2
140,beeva-franciscodiaz,test-pipeline,build_number,None,true,N/A,post-success,success,1
141,ONS-OpenData,Ref_CN,CN_2015_20180206_105537.ttl,.ttl,false,N/A,post-always,always,1
142,sandeep078,maven-new,*.jar,.jar,true,N/A,post-always,always,1
142,sandeep078,maven-new,*.jar,.jar,true,N/A,post-always,always,2
143,yeswanth1234,a,*.war,.war,false,N/A,stage,Archive,1
144,PaulTrampert,github-release-plugin,*.hpi,.hpi,false,N/A,post-success,success,1
145,shariati,test-blue-ocean,test,None,false,N/A,stage,Build,1
145,shariati,test-blue-ocean,133,None,false,N/A,stage,Test,2
146,kriszhi,scripts,*.jar,.jar,false,N/A,stage,artifacts,1
147,hbenmansour,openshift-jmeter-kafka,*.csv,.csv,false,N/A,post-always,always,1
147,hbenmansour,openshift-jmeter-kafka,*.log,.log,false,N/A,post-always,always,2
147,hbenmansour,openshift-jmeter-kafka,*.*,.*,false,N/A,post-always,always,3
148,stefhen,jenkins-pipeline,nmap,None,true,N/A,stage,Artifacts,1
149,akshya-j31,my-app,*.jar,.jar,true,N/A,post-always,always,1
150,MrZeroo00,nRF52_SDK13,*.hex,.hex,false,true,stage,Archiving,1
150,MrZeroo00,nRF52_SDK13,*.out,.out,false,true,stage,Archiving,2
151,dittoslash,conductor,conductor-arm,None,false,N/A,stage,CompileARM,1
151,dittoslash,conductor,conductor-x86,None,false,N/A,stage,CompileX86,2
152,sandeep078,Sample,*.jar,.jar,true,N/A,post-always,always,1
152,sandeep078,Sample,*.jar,.jar,true,N/A,post-always,always,2
153,camielvanramele,Graduation-Internship,genesis.json,.json,false,N/A,post-failure,failure,1
153,camielvanramele,Graduation-Internship,config.ini,.ini,false,N/A,post-failure,failure,2
153,camielvanramele,Graduation-Internship,stderr.txt,.txt,false,N/A,post-failure,failure,3
153,camielvanramele,Graduation-Internship,test_walletd_output.log,.log,false,N/A,post-failure,failure,4
153,camielvanramele,Graduation-Internship,genesis.json,.json,false,N/A,post-failure,failure,5
153,camielvanramele,Graduation-Internship,config.ini,.ini,false,N/A,post-failure,failure,6
153,camielvanramele,Graduation-Internship,stderr.txt,.txt,false,N/A,post-failure,failure,7
153,camielvanramele,Graduation-Internship,test_walletd_output.log,.log,false,N/A,post-failure,failure,8
153,camielvanramele,Graduation-Internship,genesis.json,.json,false,N/A,post-failure,failure,9
153,camielvanramele,Graduation-Internship,config.ini,.ini,false,N/A,post-failure,failure,10
153,camielvanramele,Graduation-Internship,stderr.txt,.txt,false,N/A,post-failure,failure,11
153,camielvanramele,Graduation-Internship,test_walletd_output.log,.log,false,N/A,post-failure,failure,12
154,CodeValet,codevalet.io,*.html,.html,true,N/A,post-always,always,1
154,CodeValet,codevalet.io,**,All,true,N/A,post-success,success,2
155,dek8000,eos,genesis.json,.json,false,N/A,post-failure,failure,1
155,dek8000,eos,config.ini,.ini,false,N/A,post-failure,failure,2
155,dek8000,eos,stderr.txt,.txt,false,N/A,post-failure,failure,3
155,dek8000,eos,test_walletd_output.log,.log,false,N/A,post-failure,failure,4
155,dek8000,eos,genesis.json,.json,false,N/A,post-failure,failure,5
155,dek8000,eos,config.ini,.ini,false,N/A,post-failure,failure,6
155,dek8000,eos,stderr.txt,.txt,false,N/A,post-failure,failure,7
155,dek8000,eos,test_walletd_output.log,.log,false,N/A,post-failure,failure,8
155,dek8000,eos,genesis.json,.json,false,N/A,post-failure,failure,9
155,dek8000,eos,config.ini,.ini,false,N/A,post-failure,failure,10
155,dek8000,eos,stderr.txt,.txt,false,N/A,post-failure,failure,11
155,dek8000,eos,test_walletd_output.log,.log,false,N/A,post-failure,failure,12
156,CodeValet,ruby-service-template,*.html,.html,true,N/A,post-always,always,1
156,CodeValet,ruby-service-template,**,All,true,N/A,post-success,success,2
157,nenov-nikola,shop,*.war,.war,false,N/A,post-success,success,1
158,Ysingle,jenkins_MyFirstPipeline,*.jar,.jar,true,N/A,post-always,always,1
159,Marconi-weLearn,weLearn-be,*.jar,.jar,false,N/A,post-success,success,1
159,Marconi-weLearn,weLearn-be,*.jar,.jar,false,N/A,stage,report,2
160,anthonykulis,simple-test,*.war,.war,true,N/A,stage,build,1
161,effectivejenkins,effective_jenkins_volume2,*.jar,.jar,true,N/A,stage,Build,1
162,amiteshCoder,demo-repo,*.war,.war,false,N/A,post-success,success,1
163,m-m-m,util,*.jar,.jar,true,true,stage,archive,1
164,ajitsahu,pipeline-project,build_number,None,true,N/A,post-success,success,1
165,quantenkeks,golden-nugget,hello-world,None,true,N/A,stage,Build,1
166,jherbage,sample-java-project,*.jar,.jar,true,N/A,post-always,always,1
167,KodingKing1,KKOS,*.jar,.jar,false,N/A,stage,ArchiveArtifacts,1
168,tosektosek,cinematograph,',None,false,N/A,stage,archival,1
169,lcfb91,test,*,All,false,N/A,stage,artifacts,1
170,mattwilliams5,java-project,*.jar,.jar,true,N/A,post-always,always,1
171,ubports,ubports-installer,ubports-installer*,All,true,true,stage,error,1
172,sowmithgantla,jenkins_test,build_number,None,true,N/A,post-success,success,1
173,themr0c,themr0ctalks,*.html,.html,true,N/A,stage,Anotherstep,1
174,JohnTortugo,Semantikin,Semantikin,None,true,N/A,stage,Build,1
175,cmagnuson,DataLoader,**,All,true,N/A,stage,Build,1
176,prash231,java-project,*.jar,.jar,true,N/A,post-always,always,1
177,kdamera1,Jenkins-Pipeline-Without-SCM,build_number,None,true,N/A,post-success,success,1
178,KodingKing1,KKOS,*.jar,.jar,false,N/A,stage,ArchiveArtifacts,1
179,tosektosek,cinematograph,',None,false,N/A,stage,archival,1
180,Beartigger,JavaProject,*.jar,.jar,true,N/A,post-always,always,1
181,evankicks,billingservice,*.war,.war,true,N/A,stage,archive,1
182,jarlehansen,spring-boot-blueocean,*.jar,.jar,true,N/A,stage,Build,1
183,cbroom,java-project,*.jar,.jar,true,N/A,post-always,always,1
184,chrisi,vv-workshop-hello,*.jar,.jar,false,N/A,stage,ArchiveArtefacts,1
185,awsndevopstraining,myweb,*.war,.war,false,N/A,stage,Archive,1
186,daiando,java-project,*.jar,.jar,true,N/A,post-always,always,1
187,paolocarrasco,springboot-demo,*.jar,.jar,true,N/A,stage,assemble,1
188,sabdulrahim,app,*.war,.war,false,N/A,stage,Archive,1
189,anand0305,test,*.jar,.jar,true,N/A,stage,Build,1
190,karthikrmw,JavaPrJ,*.jar,.jar,true,N/A,post-always,always,1
191,netors,cli,**,All,true,N/A,stage,Deploy,1
192,dharmsheta,application-build,*.sh,.sh,true,N/A,stage,Build,1
193,pablotj,threeInLine-animated,*.jar,.jar,true,N/A,post-always,always,1
194,sunketIngale,helloWorldDCB,hello,None,false,N/A,post-always,always,1
195,red997,jen-java-project,*.jar,.jar,true,N/A,post-always,always,1
196,kirankumarbussa,calculator,*.jar,.jar,true,N/A,post-success,success,1
